id,person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,loan_status
10507.0,22.0,40000.0,2.0,4000.0,12.21,0.1,3.0,0.0
16719.0,28.0,75000.0,5.0,10000.0,10.99,0.13,8.0,0.0
31329.0,43.0,51600.0,5.0,10000.0,12.53,0.19,13.0,0.0
10365.0,23.0,120000.0,7.0,12000.0,11.71,0.1,3.0,0.0
1275.0,22.0,39996.0,4.0,3000.0,7.37,0.08,2.0,0.0
28476.0,22.0,50000.0,6.0,6000.0,6.03,0.12,3.0,0.0
20631.0,26.0,75000.0,0.0,15000.0,6.91,0.2,3.0,0.0
7397.0,22.0,96000.0,6.0,6000.0,10.99,0.06,2.0,0.0
31905.0,26.0,122000.0,1.0,20000.0,11.58,0.16,2.0,0.0
29604.0,32.0,29000.0,0.0,1200.0,8.49,0.04,8.0,0.0
32997.0,23.0,40000.0,7.0,12000.0,17.49,0.3,4.0,0.0
31680.0,21.0,35000.0,2.0,12000.0,15.27,0.34,3.0,0.0
27565.0,28.0,60000.0,2.0,16800.0,15.65,0.28,10.0,1.0
27921.0,26.0,85000.0,8.0,10000.0,14.27,0.12,3.0,0.0
16170.0,24.0,50000.0,8.0,10000.0,12.69,0.2,2.0,0.0
27156.0,22.0,36000.0,0.0,12000.0,10.37,0.33,3.0,0.0
11685.0,23.0,53976.0,7.0,2500.0,11.71,0.05,2.0,0.0
1000.0,21.0,87547.0,2.0,10000.0,13.61,0.11,4.0,0.0
15073.0,36.0,41600.0,16.0,8000.0,12.42,0.19,11.0,0.0
34380.0,31.0,50000.0,5.0,5000.0,7.14,0.1,6.0,0.0
19606.0,37.0,75000.0,6.0,12000.0,13.49,0.16,11.0,0.0
9998.0,29.0,52000.0,13.0,12000.0,6.62,0.23,7.0,0.0
34154.0,25.0,24000.0,3.0,7000.0,8.49,0.29,3.0,0.0
15117.0,31.0,60000.0,3.0,10000.0,5.79,0.17,5.0,0.0
32595.0,29.0,75000.0,6.0,5000.0,7.51,0.07,9.0,0.0
24010.0,30.0,60000.0,2.0,10000.0,11.11,0.17,8.0,0.0
7889.0,37.0,66352.0,12.0,9600.0,11.49,0.14,17.0,0.0
32221.0,24.0,80000.0,8.0,10000.0,6.03,0.13,4.0,0.0
7755.0,25.0,50000.0,0.0,12000.0,10.36,0.24,2.0,0.0
17698.0,29.0,60000.0,1.0,7000.0,12.99,0.12,6.0,0.0
7341.0,25.0,40000.0,3.0,5600.0,10.59,0.14,2.0,0.0
28840.0,41.0,52244.0,11.0,22400.0,18.25,0.47,17.0,1.0
8525.0,22.0,36000.0,2.0,7000.0,7.9,0.19,4.0,0.0
26728.0,30.0,75000.0,14.0,3000.0,7.4,0.04,9.0,0.0
2095.0,27.0,85000.0,11.0,10000.0,13.49,0.12,9.0,0.0
15168.0,22.0,100000.0,6.0,11000.0,7.49,0.11,2.0,0.0
22144.0,22.0,72000.0,6.0,14000.0,5.42,0.19,2.0,0.0
32020.0,23.0,75000.0,0.0,10000.0,6.54,0.13,3.0,0.0
16323.0,22.0,46000.0,7.0,9000.0,10.65,0.2,2.0,0.0
20353.0,24.0,28800.0,2.0,9600.0,5.42,0.33,2.0,0.0
33641.0,25.0,30000.0,4.0,4000.0,11.86,0.13,4.0,1.0
34288.0,21.0,44004.0,3.0,6000.0,9.38,0.14,4.0,0.0
32614.0,25.0,50000.0,2.0,6000.0,13.49,0.12,4.0,0.0
20818.0,30.0,90000.0,1.0,12000.0,6.03,0.13,5.0,0.0
29736.0,28.0,30004.0,1.0,7600.0,6.03,0.25,5.0,0.0
30698.0,23.0,74000.0,7.0,1500.0,6.54,0.02,4.0,0.0
24877.0,31.0,120000.0,14.0,30000.0,10.99,0.25,5.0,0.0
4387.0,27.0,73000.0,3.0,1000.0,8.59,0.01,8.0,0.0
10173.0,30.0,40000.0,5.0,1000.0,10.99,0.03,10.0,0.0
1513.0,33.0,84000.0,7.0,10000.0,11.99,0.12,6.0,0.0
27522.0,23.0,74880.0,7.0,2500.0,14.96,0.03,2.0,1.0
8650.0,22.0,42000.0,6.0,10000.0,9.63,0.24,2.0,0.0
11433.0,22.0,50000.0,6.0,6400.0,7.88,0.13,4.0,0.0
9633.0,21.0,22992.0,3.0,5000.0,13.57,0.22,2.0,1.0
27914.0,24.0,84500.0,5.0,10000.0,8.9,0.12,4.0,0.0
30718.0,22.0,31000.0,6.0,4500.0,5.42,0.14,2.0,0.0
24754.0,29.0,27996.0,2.0,1500.0,11.49,0.06,8.0,0.0
25878.0,24.0,90000.0,6.0,25000.0,14.09,0.28,2.0,0.0
5414.0,31.0,75000.0,2.0,2000.0,7.9,0.03,5.0,0.0
11732.0,22.0,39996.0,3.0,5000.0,11.71,0.13,2.0,0.0
4890.0,23.0,52000.0,7.0,10200.0,13.92,0.2,2.0,0.0
16217.0,23.0,80000.0,1.0,11000.0,12.73,0.14,3.0,0.0
28244.0,23.0,50000.0,3.0,10000.0,6.03,0.2,2.0,0.0
3508.0,27.0,65000.0,7.0,10000.0,7.49,0.15,8.0,0.0
12608.0,22.0,30000.0,0.0,3000.0,12.42,0.1,4.0,0.0
34102.0,29.0,65000.0,2.0,10000.0,10.37,0.15,6.0,0.0
5425.0,35.0,42000.0,0.0,4000.0,10.37,0.1,6.0,0.0
25128.0,27.0,100000.0,9.0,24250.0,11.36,0.24,7.0,0.0
13484.0,32.0,85000.0,5.0,3000.0,6.62,0.04,9.0,0.0
4170.0,22.0,70000.0,6.0,5000.0,7.74,0.07,3.0,0.0
5115.0,39.0,30000.0,14.0,5000.0,8.49,0.17,11.0,0.0
30673.0,25.0,125000.0,9.0,35000.0,7.9,0.29,3.0,0.0
23087.0,28.0,85000.0,0.0,12000.0,9.99,0.14,6.0,0.0
14190.0,28.0,150000.0,3.0,12000.0,11.14,0.08,8.0,0.0
18528.0,22.0,49000.0,2.0,7000.0,13.79,0.14,2.0,1.0
17240.0,23.0,36000.0,7.0,4000.0,14.54,0.11,2.0,1.0
31738.0,39.0,60000.0,4.0,15000.0,10.83,0.25,12.0,0.0
32820.0,30.0,38500.0,0.0,3000.0,10.25,0.08,8.0,0.0
4738.0,29.0,60000.0,4.0,14000.0,7.51,0.23,7.0,0.0
28689.0,23.0,100000.0,1.0,15000.0,13.47,0.15,4.0,0.0
22887.0,38.0,32000.0,0.0,8500.0,13.23,0.28,11.0,1.0
22143.0,30.0,98700.0,6.0,9600.0,13.06,0.1,9.0,0.0
13712.0,26.0,85000.0,0.0,5000.0,6.92,0.06,2.0,0.0
8591.0,21.0,30000.0,2.0,2400.0,10.99,0.08,3.0,0.0
18426.0,28.0,83004.0,4.0,10000.0,15.99,0.12,10.0,0.0
34240.0,22.0,52000.0,5.0,5000.0,7.49,0.1,2.0,0.0
2277.0,29.0,69000.0,4.0,15000.0,14.42,0.22,7.0,1.0
28148.0,31.0,110000.0,1.0,6000.0,7.14,0.05,7.0,0.0
618.0,22.0,82500.0,6.0,11500.0,7.51,0.14,3.0,0.0
32431.0,24.0,36000.0,3.0,15200.0,10.25,0.42,2.0,1.0
28634.0,24.0,90000.0,5.0,12000.0,12.87,0.13,3.0,0.0
16287.0,30.0,60000.0,6.0,8000.0,6.99,0.13,9.0,0.0
19139.0,27.0,65000.0,11.0,6400.0,6.92,0.1,5.0,0.0
20053.0,24.0,85000.0,2.0,5000.0,10.99,0.06,4.0,0.0
31426.0,54.0,49536.0,9.0,8225.0,10.38,0.17,19.0,0.0
4805.0,22.0,52800.0,6.0,7000.0,7.74,0.13,3.0,0.0
4342.0,24.0,48500.0,3.0,3600.0,7.49,0.07,3.0,0.0
19197.0,23.0,120000.0,7.0,13000.0,7.88,0.11,4.0,0.0
14774.0,37.0,26400.0,8.0,7300.0,9.99,0.27,17.0,0.0
1298.0,27.0,105600.0,6.0,8000.0,7.49,0.08,6.0,0.0
10430.0,27.0,37000.0,11.0,14500.0,6.99,0.41,8.0,1.0
7449.0,22.0,48956.0,3.0,3000.0,10.0,0.06,4.0,0.0
3287.0,29.0,80000.0,3.0,12000.0,12.42,0.15,10.0,0.0
10594.0,21.0,50000.0,5.0,15000.0,6.03,0.3,3.0,0.0
27371.0,23.0,141000.0,7.0,25000.0,11.12,0.18,4.0,0.0
30541.0,22.0,33000.0,6.0,5000.0,5.79,0.15,3.0,0.0
27144.0,25.0,88000.0,1.0,9000.0,8.94,0.1,3.0,0.0
28635.0,23.0,60000.0,7.0,15000.0,11.11,0.25,4.0,0.0
10465.0,25.0,120000.0,9.0,7275.0,6.03,0.06,2.0,0.0
26869.0,25.0,33000.0,2.0,3000.0,8.0,0.09,4.0,0.0
14398.0,24.0,56000.0,0.0,13000.0,7.51,0.23,4.0,0.0
16546.0,38.0,55000.0,1.0,10000.0,12.73,0.18,16.0,0.0
32960.0,23.0,33000.0,4.0,7800.0,7.14,0.24,3.0,0.0
17311.0,25.0,95000.0,6.0,10000.0,7.51,0.11,3.0,0.0
12423.0,40.0,40000.0,2.0,12000.0,7.9,0.3,11.0,0.0
25942.0,24.0,48000.0,4.0,6000.0,16.89,0.13,3.0,1.0
21279.0,22.0,36000.0,5.0,6400.0,7.14,0.18,3.0,1.0
14565.0,29.0,170000.0,3.0,12000.0,5.79,0.07,8.0,0.0
1763.0,23.0,42500.0,2.0,9000.0,9.63,0.21,3.0,0.0
3507.0,26.0,60000.0,4.0,10000.0,13.49,0.17,3.0,0.0
566.0,29.0,36000.0,3.0,12000.0,11.36,0.33,6.0,1.0
27676.0,25.0,60000.0,4.0,20000.0,12.61,0.33,2.0,0.0
7653.0,26.0,85000.0,10.0,12000.0,14.22,0.14,2.0,0.0
9350.0,29.0,58868.0,12.0,2425.0,10.0,0.04,7.0,0.0
7969.0,22.0,48000.0,1.0,6000.0,13.06,0.13,2.0,0.0
28853.0,31.0,150000.0,8.0,7800.0,10.59,0.05,10.0,0.0
3219.0,22.0,70000.0,6.0,3500.0,5.42,0.05,2.0,0.0
16174.0,22.0,75000.0,4.0,20000.0,11.11,0.27,2.0,0.0
28354.0,30.0,250000.0,8.0,15000.0,15.96,0.06,2.0,0.0
15143.0,22.0,70000.0,6.0,10000.0,6.17,0.14,3.0,0.0
32069.0,37.0,50000.0,2.0,7000.0,11.14,0.14,13.0,0.0
18001.0,23.0,33600.0,2.0,10000.0,10.25,0.3,2.0,0.0
12079.0,22.0,28500.0,3.0,1600.0,14.84,0.06,4.0,0.0
16293.0,27.0,98004.0,11.0,4000.0,7.49,0.04,5.0,0.0
29112.0,27.0,69996.0,7.0,3000.0,13.49,0.04,5.0,0.0
13904.0,21.0,70000.0,3.0,15000.0,6.99,0.21,2.0,0.0
14664.0,22.0,39300.0,6.0,7500.0,14.61,0.19,4.0,1.0
11862.0,23.0,66000.0,7.0,15000.0,9.88,0.23,3.0,0.0
6633.0,27.0,60000.0,11.0,12000.0,12.42,0.2,6.0,0.0
3776.0,23.0,48000.0,7.0,9000.0,8.49,0.19,3.0,0.0
17052.0,24.0,63000.0,8.0,11500.0,13.06,0.18,2.0,0.0
32778.0,36.0,82000.0,9.0,25000.0,7.49,0.3,16.0,0.0
29697.0,29.0,54000.0,1.0,15000.0,12.69,0.28,8.0,0.0
15399.0,26.0,52000.0,10.0,8000.0,7.14,0.15,4.0,0.0
18673.0,23.0,38000.0,5.0,10000.0,9.63,0.26,2.0,0.0
16895.0,36.0,84000.0,5.0,6000.0,7.14,0.07,16.0,0.0
20835.0,24.0,60000.0,4.0,8400.0,9.99,0.14,3.0,0.0
20889.0,29.0,60000.0,13.0,7000.0,8.9,0.12,9.0,0.0
8344.0,27.0,54000.0,12.0,10000.0,9.63,0.19,6.0,0.0
30073.0,28.0,40000.0,8.0,4000.0,11.49,0.1,7.0,0.0
2168.0,28.0,56056.0,1.0,5600.0,10.37,0.1,7.0,0.0
6237.0,28.0,40000.0,4.0,12000.0,15.96,0.3,6.0,1.0
27079.0,23.0,71000.0,3.0,6000.0,7.29,0.08,2.0,0.0
11269.0,24.0,28800.0,2.0,8500.0,5.79,0.31,2.0,1.0
11393.0,25.0,31200.0,2.0,3000.0,11.86,0.1,4.0,0.0
16367.0,27.0,220836.0,11.0,6000.0,5.42,0.03,7.0,0.0
12086.0,40.0,59200.0,20.0,20000.0,12.21,0.34,12.0,1.0
14165.0,23.0,38004.0,1.0,10000.0,11.11,0.26,4.0,0.0
14284.0,51.0,75000.0,25.0,12000.0,14.26,0.16,23.0,0.0
31490.0,24.0,57500.0,1.0,5000.0,6.03,0.09,2.0,0.0
32281.0,23.0,63500.0,7.0,5400.0,7.88,0.08,4.0,0.0
19186.0,24.0,42000.0,8.0,7000.0,7.14,0.17,2.0,0.0
26977.0,24.0,110000.0,8.0,6000.0,6.17,0.05,4.0,0.0
28606.0,29.0,65000.0,5.0,7000.0,10.65,0.11,8.0,0.0
21306.0,26.0,62900.0,3.0,20000.0,14.84,0.27,4.0,1.0
61.0,28.0,60000.0,2.0,5500.0,5.42,0.09,5.0,0.0
3818.0,36.0,40000.0,8.0,10000.0,5.79,0.25,13.0,0.0
22775.0,22.0,33000.0,2.0,7800.0,16.77,0.24,2.0,1.0
26889.0,36.0,75000.0,8.0,20000.0,11.48,0.27,13.0,0.0
5341.0,44.0,100000.0,1.0,12000.0,17.19,0.12,15.0,0.0
9152.0,37.0,41000.0,2.0,8000.0,15.65,0.2,17.0,1.0
6824.0,22.0,103000.0,0.0,8000.0,12.98,0.08,3.0,0.0
24086.0,32.0,120000.0,3.0,4700.0,12.99,0.04,8.0,0.0
27182.0,25.0,50000.0,1.0,2400.0,7.66,0.05,2.0,0.0
1197.0,25.0,120000.0,9.0,7000.0,12.99,0.06,4.0,0.0
30688.0,23.0,92004.0,7.0,12000.0,15.28,0.13,4.0,0.0
2900.0,32.0,70000.0,5.0,8000.0,11.49,0.11,6.0,0.0
5676.0,25.0,55400.0,8.0,13250.0,15.28,0.25,2.0,1.0
8663.0,24.0,67600.0,4.0,9600.0,16.02,0.14,2.0,1.0
16229.0,26.0,30600.0,2.0,14500.0,7.29,0.45,3.0,1.0
14987.0,27.0,33000.0,2.0,15250.0,12.53,0.45,7.0,1.0
17191.0,37.0,125000.0,0.0,10000.0,5.99,0.08,17.0,0.0
27809.0,38.0,28800.0,2.0,6225.0,14.54,0.22,14.0,1.0
4771.0,22.0,45000.0,2.0,9600.0,7.49,0.21,2.0,0.0
17699.0,25.0,57000.0,5.0,6400.0,7.51,0.12,2.0,0.0
10821.0,28.0,185000.0,4.0,28000.0,9.91,0.14,8.0,0.0
18365.0,45.0,138000.0,7.0,25000.0,12.87,0.18,12.0,0.0
19860.0,22.0,82000.0,4.0,12000.0,6.76,0.15,4.0,0.0
8880.0,39.0,48000.0,17.0,10000.0,16.89,0.21,16.0,0.0
33145.0,22.0,55200.0,5.0,14000.0,16.0,0.26,3.0,1.0
10351.0,22.0,50000.0,3.0,2400.0,12.23,0.05,3.0,0.0
32707.0,27.0,50000.0,0.0,10000.0,6.92,0.2,7.0,0.0
11198.0,25.0,18000.0,0.0,4000.0,15.99,0.22,4.0,1.0
34256.0,38.0,50000.0,3.0,12000.0,10.37,0.24,17.0,0.0
1278.0,23.0,26000.0,0.0,7000.0,14.96,0.27,3.0,1.0
11388.0,25.0,38000.0,9.0,6000.0,13.49,0.16,2.0,0.0
33824.0,28.0,76000.0,2.0,14400.0,12.98,0.18,6.0,0.0
23739.0,23.0,78000.0,7.0,9500.0,5.79,0.12,4.0,0.0
16472.0,35.0,25000.0,4.0,8000.0,11.48,0.32,10.0,1.0
8388.0,22.0,57800.0,0.0,16000.0,16.45,0.24,2.0,1.0
21914.0,22.0,30000.0,6.0,8000.0,12.99,0.27,4.0,0.0
25140.0,28.0,110000.0,2.0,6000.0,13.23,0.05,9.0,0.0
23340.0,25.0,65000.0,9.0,7200.0,10.37,0.11,2.0,0.0
14276.0,37.0,50000.0,11.0,6000.0,9.99,0.12,11.0,0.0
18463.0,24.0,50000.0,0.0,10000.0,7.51,0.2,4.0,0.0
24759.0,24.0,106839.0,9.0,14000.0,7.88,0.13,2.0,0.0
31387.0,21.0,45000.0,4.0,6000.0,6.92,0.13,3.0,0.0
6797.0,33.0,50000.0,5.0,10000.0,9.88,0.2,6.0,0.0
